time_ns,time_ns_std,selectivity,density,skewness_factor,max_len_pow,max_len,set_count,element_count,element_bytes,element_bytes_pow,time_s,throughput_eps,time_ns/element,time_s/element,throughput_vs_branchless_merge,throughput_vs_broadcast_sse,throughput_vs_broadcast_avx2,throughput_vs_broadcast_avx512
759.8,9.89410598959468,0.01,0.001,0.0,10,1024,2,2048,8192,13.0,7.597999999999999e-07,2695446170.044749,0.37099609375,3.7099609374999996e-10,7.351759234886374,2.233263139422655,1.2397560761603932,1.0
3114.9,60.483248369555454,0.01,0.001,0.0,12,4096,2,8192,32768,15.0,3.1149e-06,2629939965.970015,0.38023681640625,3.8023681640625e-10,7.164938414288312,2.174890579686881,1.344462636574743,1.0
14002.866666666667,104.80831179931401,0.01,0.001,0.0,14,16384,2,32768,131072,17.0,1.4002866666666666e-05,2340092266.8215556,0.42733357747395834,4.273335774739583e-10,6.404698085630086,1.9628195179082375,1.1520617206952861,1.0
55741.13333333333,397.52473577823497,0.01,0.001,0.0,16,65536,2,131072,524288,19.0,5.5741133333333334e-05,2351441245.662987,0.4252710978190104,4.252710978190104e-10,6.405610100021887,1.9514756906031092,1.1600565471100335,1.0
224752.2,742.688198371295,0.01,0.001,0.0,18,262144,2,524288,2097152,21.0,0.0002247522,2332738011.0183573,0.4286808013916016,4.286808013916016e-10,6.32628453321777,1.9389020441179223,1.1480793810546313,1.0
896988.0,3403.3093894032027,0.01,0.001,0.0,20,1048576,2,2097152,8388608,23.0,0.000896988,2337993373.378462,0.4277172088623047,4.277172088623047e-10,6.345069870871553,1.9433953036904246,1.148240147396992,1.0
