time_ns,time_ns_std,selectivity,density,skewness_factor,max_len_pow,max_len,set_count,element_count,element_bytes,element_bytes_pow,time_s,throughput_eps,time_ns/element,time_s/element,throughput_vs_branchless_merge,throughput_vs_broadcast_sse,throughput_vs_broadcast_avx2,throughput_vs_broadcast_avx512
5681436.3,4986.093929787792,0.01,0.001,0.0,20,1048576,2,2097152,8388608,23.0,0.0056814362999999994,369123561.23749906,2.709119939804077,2.709119939804077e-09,1.0,0.30682529462957575,0.18106244835776242,0.15104832440580798
3540197.3666666667,3558.2355691487815,0.01,0.001,2.0,20,1048576,2,1310720,5242880,22.32192809488736,0.0035401973666666668,370239244.94755805,2.700956242879232,2.700956242879232e-09,1.0,0.3152313796139483,0.17555221803500012,0.1493294615843499
3010629.966666667,2917.183978695131,0.01,0.001,4.0,20,1048576,2,1114112,4456448,22.08746284125034,0.0030106299666666668,370059426.8758746,2.7022686827416513,2.7022686827416516e-09,1.0,0.30709181917729095,0.1701352448948697,0.1473560921064815
2876977.066666667,4647.057183016174,0.01,0.001,6.0,20,1048576,2,1064960,4259840,22.022367813028456,0.0028769770666666667,370166315.3102182,2.7014883814102566,2.7014883814102563e-09,1.0,0.30358791412912667,0.17380842984821845,0.15039312328199303
2920086.7,429729.5559884263,0.01,0.001,8.0,20,1048576,2,1052672,4210688,22.00562454919388,0.0029200867000000004,360493405.8978454,2.773975844327578,2.7739758443275782e-09,1.0,0.29556838158264276,0.16299300291323543,0.140805682242243
